BCI-AV#,English,POS,Derivation - explanation,BCI-AV#,POS,Derivation - explanation svenska ,Swedish,BCI-AV#,Norwegian,BCI-AV#,Finnish,BCI-AV#,Hungarian,BCI-AV#,German,BCI-AV#,Dutch,BCI-AV#,Afrikaans,BCI-AV#,Russian,BCI-AV#,Latvian,BCI-AV#,Polish,BCI-AV#,French,BCI-AV#,Spanish,BCI-AV#,Portugese - draft,BCI-AV#,Italian - draft,BCI-AV#,Danish - draft
8510,zero_(index_number),WHITE,(Arabic numeral 0 - small)   - Character,8510,WHITE,(Arabic numeral 0 - small)   - Character,noll (indexsiffra),8510,null (indekstall),8510,,8510,,8510,Null (Indexnummer),8510,nul (index nummer),8510,nul (indeks nommer),8510,ноль (номер индекса),8510,nulle (ideksa numurs),8510,,8510,,8510,,8510,,8510,,8510,
8511,one_(index_number),WHITE,(Arabic numeral 1 - small)   - Character,8511,WHITE,(Arabic numeral 1 - small)   - Character,ett (indexsiffra),8511,en (indekstall),8511,,8511,,8511,eins (Indexnummer),8511,één (index nummer),8511,een (indeks nommer),8511,один (номер индекса),8511,viens (indeksa numurs),8511,,8511,,8511,,8511,,8511,,8511,
8512,two_(index_number),WHITE,(Arabic numeral 2 - small)   - Character,8512,WHITE,(Arabic numeral 2 - small)   - Character,två (indexsiffra),8512,to (indekstall),8512,,8512,,8512,zwei (Indexnummer),8512,twee (index nummer),8512,twee (indeks nommer),8512,два (номер индекса),8512,divi (indeksa numurs),8512,,8512,,8512,,8512,,8512,,8512,
8513,three_(index_number),WHITE,(Arabic numeral 3 - small)   - Character,8513,WHITE,(Arabic numeral 3 - small)   - Character,tre (indexsiffra),8513,tre (indekstall),8513,,8513,,8513,drei (Indexnummer),8513,drie (index nummer),8513,drie (indeks nommer),8513,три (номер индекса),8513,trīs (indeksa numurs),8513,,8513,,8513,,8513,,8513,,8513,
8514,four_(index_number),WHITE,(Arabic numeral 4 - small)   - Character,8514,WHITE,(Arabic numeral 4 - small)   - Character,fyra (indexsiffra),8514,fire (indekstall),8514,,8514,,8514,vier (Indexnummer),8514,vier (index nummer),8514,vier (indeks nommer),8514,четыре (номер индекса),8514,četri (indeksa numurs),8514,,8514,,8514,,8514,,8514,,8514,
8515,five_(index_number),WHITE,(Arabic numeral 5 - small)   - Character,8515,WHITE,(Arabic numeral 5 - small)   - Character,fem (indexsiffra),8515,fem (indekstall),8515,,8515,,8515,fünf (Indexnummer),8515,vijf (index nummer),8515,vyf (indeks nommer),8515,пять (номер индекса),8515,pieci (indeksa numurs),8515,,8515,,8515,,8515,,8515,,8515,
8516,six_(index_number),WHITE,(Arabic numeral 6 - small)   - Character,8516,WHITE,(Arabic numeral 6 - small)   - Character,sex (indexsiffra),8516,seks (indekstall),8516,,8516,,8516,sechs (Indexnummer),8516,zes (index nummer),8516,ses (indeks nommer),8516,шесть (номер индекса),8516,seši (indeksa numurs),8516,,8516,,8516,,8516,,8516,,8516,
8517,seven_(index_number),WHITE,(Arabic numeral 7 - small)   - Character,8517,WHITE,(Arabic numeral 7 - small)   - Character,sju (indexsiffra),8517,syv (indekstall),8517,,8517,,8517,sieben (Indexnummer),8517,zeven (index nummer),8517,sewe (indeks nommer),8517,семь (номер индекса),8517,septiņi (indeksa numurs),8517,,8517,,8517,,8517,,8517,,8517,
8518,eight_(index_number),WHITE,(Arabic numeral 8 - small)   - Character,8518,WHITE,(Arabic numeral 8 - small)   - Character,åtta (indexsiffra),8518,åtte (indekstall),8518,,8518,,8518,acht (Indexnummer),8518,acht (index nummer),8518,agt (indeks nommer),8518,восемь (номер индекса),8518,astoņi (indeksa numurs),8518,,8518,,8518,,8518,,8518,,8518,
8519,nine_(index_number),WHITE,(Arabic numeral 9 - small)   - Character,8519,WHITE,(Arabic numeral 9 - small)   - Character,nio (indexsiffra),8519,ni (indekstall),8519,,8519,,8519,neun (Indexnummer),8519,negen (index nummer),8519,nege (indeks nommer),8519,девять (номер индекса),8519,deviņi (indeksa numurs),8519,,8519,,8519,,8519,,8519,,8519,
8521,a_(lowercase),WHITE,(Latin English lowercase letter a)  - Character,8521,WHITE,(Latin English lowercase letter a)  - Character,a (lilla),8521,a (liten bokstav),8521,a (pieni kirjain),8521,a (kisbetű),8521,a (Kleinbuchstabe),8521,a (kleine letter),8521,a (kleinletter),8521,a (строчная буква),8521,a (mazais burts),8521,a (mała litera),8521,a (lettre minuscule),8521,a (letra minúscula),8521,a (letra minúscula),8521,a (lettera minuscola),8521,a (lille bogstav)
8522,b_(lowercase),WHITE,(Latin English lowercase letter b)  - Character,8522,WHITE,(Latin English lowercase letter b)  - Character,b (lilla),8522,b (liten bokstav),8522,b (pieni kirjain),8522,b (kisbetű),8522,b (Kleinbuchstabe),8522,b (kleine letter),8522,b (kleinletter),8522,b (строчная буква),8522,b (mazais burts),8522,b (mała litera),8522,b (lettre minuscule),8522,b (letra minúscula),8522,b (letra minúscula),8522,b (lettera minuscola),8522,b (lille bogstav)
8523,c_(lowercase),WHITE,(Latin English lowercase letter c)  - Character,8523,WHITE,(Latin English lowercase letter c)  - Character,c (lilla),8523,c (liten bokstav),8523,c (pieni kirjain),8523,c (kisbetű),8523,c (Kleinbuchstabe),8523,c (kleine letter),8523,c kleinletter,8523,c (строчная буква),8523,c (mazais burts),8523,c (mała litera),8523,c (lettre minuscule),8523,c (letra minúscula),8523,c (letra minúscula),8523,c (lettera minuscola),8523,c (lille bogstav)
8524,d_(lowercase),WHITE,(Latin English lowercase letter d)  - Character,8524,WHITE,(Latin English lowercase letter d)  - Character,d (lilla),8524,d (liten bokstav),8524,d (pieni kirjain),8524,d (kisbetű),8524,d (Kleinbuchstabe),8524,d (kleine letter),8524,d (kleinletter),8524,d (строчная буква),8524,d (mazais burts),8524,d (mała litera),8524,d (lettre minuscule),8524,d (letra minúscula),8524,d (letra minúscula),8524,d (lettera minuscola),8524,d (lille bogstav)
8525,e_(lowercase),WHITE,(Latin English lowercase letter e)  - Character,8525,WHITE,(Latin English lowercase letter e)  - Character,e (lilla),8525,e (liten bokstav),8525,e (pieni kirjain),8525,e (kisbetű),8525,e (Kleinbuchstabe),8525,e (kleine letter),8525,e (kleinletter),8525,e (строчная буква),8525,e (mazais burts),8525,e (mała litera),8525,e (lettre minuscule),8525,e (letra minúscula),8525,e (letra minúscula),8525,e (lettera minuscola),8525,e (lille bogstav)
8526,f_(lowercase),WHITE,(Latin English lowercase letter f)  - Character,8526,WHITE,(Latin English lowercase letter f)  - Character,f (lilla),8526,f (liten bokstav),8526,f (pieni kirjain),8526,f (kisbetű),8526,f (Kleinbuchstabe),8526,f (kleine letter),8526,f (kleinletter),8526,f (строчная буква),8526,f (mazais burts),8526,f (mała litera),8526,f (lettre minuscule),8526,f (letra minúscula),8526,f (letra minúscula),8526,f (lettera minuscola),8526,f (lille bogstav)
8527,g_(lowercase),WHITE,(Latin English lowercase letter g)  - Character,8527,WHITE,(Latin English lowercase letter g)  - Character,g (lilla),8527,g (liten bokstav),8527,g (pieni kirjain),8527,g (kisbetű),8527,g (Kleinbuchstabe),8527,g (kleine letter),8527,g (kleinletter),8527,g (строчная буква),8527,g (mazais burts),8527,g (mała litera),8527,g (lettre minuscule),8527,g (letra minúscula),8527,g (letra minúscula),8527,g (lettera minuscola),8527,g (lille bogstav)
8528,h_(lowercase),WHITE,(Latin English lowercase letter h)  - Character,8528,WHITE,(Latin English lowercase letter h)  - Character,h (lilla),8528,h (liten bokstav),8528,h (pieni kirjain),8528,h (kisbetű),8528,h (Kleinbuchstabe),8528,h (kleine letter),8528,h (kleinletter),8528,h (строчная буква),8528,h (mazais burts),8528,h (mała litera),8528,h (lettre minuscule),8528,h (letra minúscula),8528,h (letra minúscula),8528,h (lettera minuscola),8528,h (lille bogstav)
8529,i_(lowercase),WHITE,(Latin English lowercase letter i)  - Character,8529,WHITE,(Latin English lowercase letter i)  - Character,i (lilla),8529,i (liten bokstav),8529,i (pieni kirjain),8529,i (kisbetű),8529,i (Kleinbuchstabe),8529,i (kleine letter),8529,i (kleinletter),8529,i (строчная буква),8529,i (mazais burts),8529,i (mała litera),8529,i (lettre minuscule),8529,i (letra minúscula),8529,i (letra minúscula),8529,i (lettera minuscola),8529,i (lille bogstav)
8530,j_(lowercase),WHITE,(Latin English lowercase letter j)  - Character,8530,WHITE,(Latin English lowercase letter j)  - Character,j (lilla),8530,j (liten bokstav),8530,j (pieni kirjain),8530,j (kisbetű),8530,j (Kleinbuchstabe),8530,j (kleine letter),8530,j (kleinletter),8530,j (строчная буква),8530,j (mazais burts),8530,j (mała litera),8530,j (lettre minuscule),8530,j (letra minúscula),8530,j (letra minúscula),8530,j (lettera minuscola),8530,j (lille bogstav)
8531,k_(lowercase),WHITE,(Latin English lowercase letter k)  - Character,8531,WHITE,(Latin English lowercase letter k)  - Character,k (lilla),8531,k (liten bokstav),8531,k (pieni kirjain),8531,k (kisbetű),8531,k (Kleinbuchstabe),8531,k (kleine letter),8531,k (kleinletter),8531,k (строчная буква),8531,k (mazais burts),8531,k (mała litera),8531,k (lettre minuscule),8531,k (letra minúscula),8531,k (letra minúscula),8531,k (lettera minuscola),8531,k (lille bogstav)
8532,l_(lowercase),WHITE,(Latin English lowercase letter l)  - Character,8532,WHITE,(Latin English lowercase letter l)  - Character,l (lilla),8532,l (liten bokstav),8532,l (pieni kirjain),8532,l (kisbetű),8532,l (Kleinbuchstabe),8532,l (kleine letter),8532,l (kleinletter),8532,l (строчная буква),8532,l (mazais burts),8532,l (mała litera),8532,l (lettre minuscule),8532,l (letra minúscula),8532,l (letra minúscula),8532,l (lettera minuscola),8532,l (lille bogstav)
8533,m_(lowercase),WHITE,(Latin English lowercase letter m)  - Character,8533,WHITE,(Latin English lowercase letter m)  - Character,m (lilla),8533,m (liten bokstav),8533,m (pieni kirjain),8533,m (kisbetű),8533,m (Kleinbuchstabe),8533,m (kleine letter),8533,m kleinletter,8533,m (строчная буква),8533,m (mazais burts),8533,m (mała litera),8533,m (lettre minuscule),8533,m (letra minúscula),8533,m (letra minúscula),8533,m (lettera minuscola),8533,m (lille bogstav)
8534,n_(lowercase),WHITE,(Latin English lowercase letter n)  - Character,8534,WHITE,(Latin English lowercase letter n)  - Character,n (lilla),8534,n (liten bokstav),8534,n (pieni kirjain),8534,n (kisbetű),8534,n (Kleinbuchstabe),8534,n (kleine letter),8534,n (kleinletter),8534,n (строчная буква),8534,n (mazais burts),8534,n (mała litera),8534,n (lettre minuscule),8534,n (letra minúscula),8534,n (letra minúscula),8534,n (lettera minuscola),8534,n (lille bogstav)
8535,o_(lowercase),WHITE,(Latin English lowercase letter o)  - Character,8535,WHITE,(Latin English lowercase letter o)  - Character,o (lilla),8535,o (liten bokstav),8535,o (pieni kirjain),8535,o (kisbetű),8535,o (Kleinbuchstabe),8535,o (kleine letter),8535,o (kleinletter),8535,o (строчная буква),8535,o (mazais burts),8535,o (mała litera),8535,o (lettre minuscule),8535,o (letra minúscula),8535,o (letra minúscula),8535,o (lettera minuscola),8535,o (lille bogstav)
8536,p_(lowercase),WHITE,(Latin English lowercase letter p)  - Character,8536,WHITE,(Latin English lowercase letter p)  - Character,p (lilla),8536,p (liten bokstav),8536,p (pieni kirjain),8536,p (kisbetű),8536,p (Kleinbuchstabe),8536,p (kleine letter),8536,p (kleinletter),8536,p (строчная буква),8536,p (mazais burts),8536,p (mała litera),8536,p (lettre minuscule),8536,p (letra minúscula),8536,p (letra minúscula),8536,p (lettera minuscola),8536,p (lille bogstav)
8537,q_(lowercase),WHITE,(Latin English lowercase letter q)  - Character,8537,WHITE,(Latin English lowercase letter q)  - Character,q (lilla),8537,q (liten bokstav),8537,q (pieni kirjain),8537,q (kisbetű),8537,q (Kleinbuchstabe),8537,q (kleine letter),8537,q (kleinletter),8537,q (строчная буква),8537,q (mazais burts),8537,q (mała litera),8537,q (lettre minuscule),8537,q (letra minúscula),8537,q (letra minúscula),8537,q (lettera minuscola),8537,q (lille bogstav)
8538,r_(lowercase),WHITE,(Latin English lowercase letter r)  - Character,8538,WHITE,(Latin English lowercase letter r)  - Character,r (lilla),8538,r (liten bokstav),8538,r (pieni kirjain),8538,r (kisbetű),8538,r (Kleinbuchstabe),8538,r (kleine letter),8538,r (kleinletter),8538,r (строчная буква),8538,r (mazais burts),8538,r (mała litera),8538,r (lettre minuscule),8538,r (letra minúscula),8538,r (letra minúscula),8538,r (lettera minuscola),8538,r (lille bogstav)
8539,s_(lowercase),WHITE,(Latin English lowercase letter s)  - Character,8539,WHITE,(Latin English lowercase letter s)  - Character,s (lilla),8539,s (liten bokstav),8539,s (pieni kirjain),8539,s (kisbetű),8539,s (Kleinbuchstabe),8539,s (kleine letter),8539,s (kleinletter),8539,s (строчная буква),8539,s (mazais burts),8539,s (mała litera),8539,s (lettre minuscule),8539,s (letra minúscula),8539,s (letra minúscula),8539,s (lettera minuscola),8539,s (lille bogstav)
8540,t_(lowercase),WHITE,(Latin English lowercase letter t)  - Character,8540,WHITE,(Latin English lowercase letter t)  - Character,t (lilla),8540,t (liten bokstav),8540,t (pieni kirjain),8540,t (kisbetű),8540,t (Kleinbuchstabe),8540,t (kleine letter),8540,t (kleinletter),8540,t (строчная буква),8540,t (mazais burts),8540,t (mała litera),8540,t (lettre minuscule),8540,t (letra minúscula),8540,t (letra minúscula),8540,t (lettera minuscola),8540,t (lille bogstav)
8541,u_(lowercase),WHITE,(Latin English lowercase letter u)  - Character,8541,WHITE,(Latin English lowercase letter u)  - Character,u (lilla),8541,u (liten bokstav),8541,u (pieni kirjain),8541,u (kisbetű),8541,u (Kleinbuchstabe),8541,u (kleine letter),8541,u (kleinletter),8541,u (строчная буква),8541,u (mazais burts),8541,u (mała litera),8541,u (lettre minuscule),8541,u (letra minúscula),8541,u (letra minúscula),8541,u (lettera minuscola),8541,u (lille bogstav)
8542,v_(lowercase),WHITE,(Latin English lowercase letter v)  - Character,8542,WHITE,(Latin English lowercase letter v)  - Character,v (lilla),8542,v (liten bokstav),8542,v (pieni kirjain),8542,v (kisbetű),8542,v (Kleinbuchstabe),8542,v (kleine letter),8542,v (kleinletter),8542,v (строчная буква),8542,v (mazais burts),8542,v (mała litera),8542,v (lettre minuscule),8542,v (letra minúscula),8542,v (letra minúscula),8542,v (lettera minuscola),8542,v (lille bogstav)
8543,w_(lowercase),WHITE,(Latin English lowercase letter w)  - Character,8543,WHITE,(Latin English lowercase letter w)  - Character,w (lilla),8543,w (liten bokstav),8543,w (pieni kirjain),8543,w (kisbetű),8543,w (Kleinbuchstabe),8543,w (kleine letter),8543,w (kleinletter),8543,w (строчная буква),8543,w (mazais burts),8543,w (mała litera),8543,w (lettre minuscule),8543,w (letra minúscula),8543,w (letra minúscula),8543,w (lettera minuscola),8543,w (lille bogstav)
8544,x_(lowercase),WHITE,(Latin English lowercase letter x)  - Character,8544,WHITE,(Latin English lowercase letter x)  - Character,x (lilla),8544,x (liten bokstav),8544,x (pieni kirjain),8544,x (kisbetű),8544,x (Kleinbuchstabe),8544,x (kleine letter),8544,x (kleinletter),8544,x (строчная буква),8544,x (mazais burts),8544,x (mała litera),8544,x (lettre minuscule),8544,x (letra minúscula),8544,x (letra minúscula),8544,x (lettera minuscola),8544,x (lille bogstav)
8545,y_(lowercase),WHITE,(Latin English lowercase letter y)  - Character,8545,WHITE,(Latin English lowercase letter y)  - Character,y (lilla),8545,y (liten bokstav),8545,y (pieni kirjain),8545,y (kisbetű),8545,y (Kleinbuchstabe),8545,y (kleine letter),8545,y (kleinletter),8545,y (строчная буква),8545,y (mazais burts),8545,y (mała litera),8545,y (lettre minuscule),8545,y (letra minúscula),8545,y (letra minúscula),8545,y (lettera minuscola),8545,y (lille bogstav)
8546,z_(lowercase),WHITE,(Latin English lowercase letter z)  - Character,8546,WHITE,(Latin English lowercase letter z)  - Character,z (lilla),8546,z (liten bokstav),8546,z (pieni kirjain),8546,z (kisbetű),8546,z (Kleinbuchstabe),8546,z (kleine letter),8546,z (kleinletter),8546,z (строчная буква),8546,z (mazais burts),8546,z (mała litera),8546,z (lettre minuscule),8546,z (letra minúscula),8546,z (letra minúscula),8546,z (lettera minuscola),8546,z (lille bogstav)
8551,A_(uppercase),WHITE,(Latin English uppercase letter A)  - Character,8551,WHITE,(Latin English uppercase letter A)  - Character,A (stora),8551,A (stor bokstav),8551,A (iso kirjain),8551,A (nagybetű),8551,A (Großbuchstabe),8551,A (hoofdletter),8551,A (hoofletter),8551,A (прописная буква),8551,A (lielais burts),8551,A (wielka litera),8551,A (lettre majuscule),8551,A (letra mayúscula),8551,A (letra maiúscula),8551,A (lettera maiuscola),8551,A (stort bogstav)
8552,B_(uppercase),WHITE,(Latin English uppercase letter B)  - Character,8552,WHITE,(Latin English uppercase letter B)  - Character,B (stora),8552,B (stor bokstav),8552,B (iso kirjain),8552,B (nagybetű),8552,B (Großbuchstabe),8552,B (hoofdletter),8552,B (hoofletter),8552,B (прописная буква),8552,B (lielais burts),8552,B (wielka litera),8552,B (lettre majuscule),8552,B (letra mayúscula),8552,B (letra maiúscula),8552,B (lettera maiuscola),8552,B (stort bogstav)
8553,C_(uppercase),WHITE,(Latin English uppercase letter C)  - Character,8553,WHITE,(Latin English uppercase letter C)  - Character,C (stora),8553,C (stor bokstav),8553,C (iso kirjain),8553,C (nagybetű),8553,C (Großbuchstabe),8553,C (hoofdletter),8553,C (hoofletter),8553,C (прописная буква),8553,C (lielais burts),8553,C (wielka litera),8553,C (lettre majuscule),8553,C (letra mayúscula),8553,C (letra maiúscula),8553,C (lettera maiuscola),8553,C (stort bogstav)
8554,D_(uppercase),WHITE,(Latin English uppercase letter D)  - Character,8554,WHITE,(Latin English uppercase letter D)  - Character,D (stora),8554,D (stor bokstav),8554,D (iso kirjain),8554,D (nagybetű),8554,D (Großbuchstabe),8554,D (hoofdletter),8554,D (hoofletter),8554,D (прописная буква),8554,D (lielais burts),8554,D (wielka litera),8554,D (lettre majuscule),8554,D (letra mayúscula),8554,D (letra maiúscula),8554,D (lettera maiuscola),8554,D (stort bogstav)
8555,E_(uppercase),WHITE,(Latin English uppercase letter E)  - Character,8555,WHITE,(Latin English uppercase letter E)  - Character,E (stora),8555,E (stor bokstav),8555,E (iso kirjain),8555,E (nagybetű),8555,E (Großbuchstabe),8555,E (hoofdletter),8555,E (hoofletter),8555,E (прописная буква),8555,E (lielais burts),8555,E (wielka litera),8555,E (lettre majuscule),8555,E (letra mayúscula),8555,E (letra maiúscula),8555,E (lettera maiuscola),8555,E (stort bogstav)
8556,F_(uppercase),WHITE,(Latin English uppercase letter F)  - Character,8556,WHITE,(Latin English uppercase letter F)  - Character,F (stora),8556,F (stor bokstav),8556,F (iso kirjain),8556,F (nagybetű),8556,F (Großbuchstabe),8556,F (hoofdletter),8556,F (hoofletter),8556,F (прописная буква),8556,F (lielais burts),8556,F (wielka litera),8556,F (lettre majuscule),8556,F (letra mayúscula),8556,F (letra maiúscula),8556,F (lettera maiuscola),8556,F (stort bogstav)
8557,G_(uppercase),WHITE,(Latin English uppercase letter G)  - Character,8557,WHITE,(Latin English uppercase letter G)  - Character,G (stora),8557,G (stor bokstav),8557,G (iso kirjain),8557,G (nagybetű),8557,G (Großbuchstabe),8557,G (hoofdletter),8557,G (hoofletter),8557,G (прописная буква),8557,G (lielais burts),8557,G (wielka litera),8557,G (lettre majuscule),8557,G (letra mayúscula),8557,G (letra maiúscula),8557,G (lettera maiuscola),8557,G (stort bogstav)
